location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Nizampet,8580000,1650,3,0,1,1,0,1
Nizampet,8736000,1680,3,0,1,1,0,1
Nizampet,8086000,1555,3,0,1,1,0,1
Nizampet,8762000,1685,3,0,1,1,0,1
Nizampet,7904000,1520,3,0,1,1,0,1
Nizampet,6370000,1225,2,0,1,1,0,1
Nizampet,9334000,1795,3,0,1,1,0,1
Nizampet,7462000,1435,2,0,1,1,0,1
Nizampet,7436000,1430,2,0,1,1,0,1
Nizampet,6578000,1265,2,0,1,1,0,1
Manikonda,10400000,2080,3,0,1,1,0,1
Manikonda,10400000,2092,3,0,1,1,0,1
Manikonda,6850000,1370,2,0,1,1,0,1
Manikonda,11100000,2232,3,0,1,1,0,1
Manikonda,10300000,2063,3,0,1,1,0,1
Manikonda,7000000,1400,2,0,1,1,0,1
Manikonda,9325000,1865,3,0,1,1,0,1
Manikonda,11299999,2270,3,0,1,1,0,1
Manikonda,9480000,1896,3,0,1,1,0,1
Hitech City,25600000,3031,4,0,1,1,0,1
Manikonda,8510000,1702,3,0,0,0,0,0
Manikonda,6750000,1350,2,0,0,0,0,0
Manikonda,7625000,1525,3,0,0,0,0,0
Manikonda,6125000,1225,2,0,0,0,0,0
Manikonda,8640000,1728,3,0,0,0,0,0
Manikonda,8625000,1725,3,0,0,0,0,0
Manikonda,6500000,1300,2,0,0,0,0,0
Manikonda,8000000,1600,3,0,0,0,0,0
Manikonda,6000000,1200,2,0,0,0,0,0
Kothaguda,9900000,1640,3,0,0,0,0,1
Kompally,8234999,1830,3,0,0,0,0,1
Kompally,8256999,1835,3,0,0,0,0,1
Tellapur,7100000,1570,3,0,1,0,0,0
Tellapur,9900000,1570,3,0,1,0,0,0
Tellapur,9900000,2240,3,0,1,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,0
Sanath Nagar,16000000,1895,3,0,0,1,0,1
Manikonda,8000000,1600,3,0,0,0,0,0
Kukatpally,5654000,1140,2,0,0,1,0,1
Kukatpally,5704000,1150,2,0,0,1,0,1
Kukatpally,7588000,1530,3,0,0,1,0,1
Nizampet,5999000,1230,2,0,0,0,0,1
Manikonda,6000000,1300,2,0,0,0,0,0
Gachibowli,3148000,1050,2,0,0,0,0,1
Gachibowli,6325000,1665,3,0,0,0,0,1
Gachibowli,4748000,1250,2,0,0,0,0,0
Gachibowli,4748000,1250,2,0,0,0,0,1
